Example 21.1

Time: 1 = January 1951
    489 = September 1999
Money = M1 money supply ($, Billions)

TIME	MONEY	
225	324.48	
226	326.4	
227	328.64	
228	330.87	
229	334.4	
230	335.3	
231	336.96	
232	339.92	
233	344.86	
234	346.8	
235	347.63	
236	349.66	
237	352.26	
238	353.35	
239	355.41	
240	357.28	
241	358.6	
242	359.91	
243	362.45	
244	368.05	
245	369.59	
246	373.34	
247	377.21	
248	378.82	
249	379.28	
250	380.87	
251	380.81	
252	381.77	
253	385.85	
254	389.7	
255	388.13	
256	383.44	
257	384.6	
258	389.46	
259	394.91	
260	400.06	
261	405.36	
262	409.06	
263	410.37	
264	408.06	
265	410.83	
266	414.38	
267	418.69	
268	427.06	
269	424.43	
270	425.5	
271	427.9	
272	427.85	
273	427.46	
274	428.45	
275	430.88	
276	436.17	
277	442.13	
278	441.49	
279	442.37	
280	446.78	
281	446.53	
282	447.89	
283	449.09	
284	452.49	
285	457.5	
286	464.57	
287	471.12	
288	474.3	
289	476.68	
290	483.85	
291	490.18	
292	492.77	
293	499.78	
294	504.35	
295	508.96	
296	511.6	
297	513.41	
298	517.21	
299	518.53	
300	520.79	
301	524.4	
302	526.99	
303	530.78	
304	534.03	
305	536.59	
306	540.54	
307	542.13	
308	542.39	
309	543.86	
310	543.87	
311	547.32	
312	551.19	
313	555.66	
314	562.48	
315	565.74	
316	569.55	
317	575.07	
318	583.17	
319	590.82	
320	598.06	
321	604.47	
322	607.91	
323	611.83	
324	619.36	
325	620.4	
326	624.14	
327	632.81	
328	640.35	
329	652.01	
330	661.52	
331	672.2	
332	680.77	
333	688.51	
334	695.26	
335	705.24	
336	724.28	
337	729.34	
338	729.84	
339	733.01	
340	743.39	
341	746	
342	743.72	
343	744.96	
344	746.96	
345	748.66	
346	756.5	
347	752.83	
348	749.68	
349	755.55	
350	757.07	
351	761.18	
352	767.57	
353	771.68	
354	779.1	
355	783.4	
356	785.08	
357	784.82	
358	783.63	
359	784.46	
360	786.26	
361	784.92	
362	783.4	
363	782.74	
364	778.82	
365	774.79	
366	774.22	
367	779.71	
368	781.14	
369	782.2	
370	787.05	
371	787.95	
372	792.57	
373	794.93	
374	797.65	
375	801.25	
376	806.24	
377	804.36	
378	810.33	
379	811.8	
380	817.85	
381	821.83	
382	820.3	
383	822.06	
384	824.56	
385	826.73	
386	832.4	
387	838.62	
388	842.73	
389	848.96	
390	858.33	
391	862.95	
392	868.65	
393	871.56	
394	878.4	
395	887.95	
396	896.7	
397	910.49	
398	925.13	
399	936	
400	943.89	
401	950.78	
402	954.71	
403	964.6	
404	975.71	
405	988.84	
406	1004.34	
407	1016.04	
408	1024.45	
409	1030.9	
410	1033.15	
411	1037.99	
412	1047.47	
413	1066.22	
414	1075.61	
415	1085.88	
416	1095.56	
417	1105.43	
418	1113.8	
419	1123.9	
420	1129.31	
421	1132.2	
422	1136.13	
423	1139.91	
424	1141.42	
425	1142.85	
426	1145.65	
427	1151.49	
428	1151.39	
429	1152.44	
430	1150.41	
431	1150.44	
432	1149.75	
433	1150.64	
434	1146.74	
435	1146.52	
436	1149.48	
437	1144.65	
438	1144.24	
439	1146.5	
440	1146.1	
441	1142.27	
442	1136.43	
443	1133.55	
444	1126.73	
445	1122.58	
446	1117.53	
447	1122.59	
448	1124.52	
449	1116.3	
450	1115.47	
451	1112.34	
452	1102.18	
453	1095.61	
454	1082.56	
455	1080.49	
456	1081.34	
457	1080.52	
458	1076.2	
459	1072.42	
460	1067.45	
461	1063.37	
462	1065.99	
463	1067.57	
464	1072.08	
465	1064.82	
466	1062.06	
467	1067.53	
468	1074.87	
469	1073.81	
470	1076.02	
471	1080.65	
472	1082.09	
473	1078.17	
474	1077.78	
475	1075.37	
476	1072.21	
477	1074.65	
478	1080.4	
479	1088.96	
480	1093.35	
481	1091	
482	1092.65	
483	1102.01	
484	1108.4	
485	1104.75	
486	1101.11	
487	1099.53	
488	1102.4	
489	1093.46	
