Figure 22.8

Return= Monthly % change in NYSE
        Index
Time:  1 = January 1952
     528 = December 1995

TIME	RETURN	
144	0.020879	
145	0.024671	
146	0.01301	
147	0.01603	
148	0.003388	
149	0.011975	
150	0.014644	
151	0.0187	
152	-0.015772	
153	0.028916	
154	0.008365	
155	-0.003245	
156	0.002162	
157	0.036794	
158	0.00277	
159	-0.012384	
160	0.033137	
161	-0.00906	
162	-0.052026	
163	0.016175	
164	0.025322	
165	0.030664	
166	0.027664	
167	-0.004346	
168	0.010857	
169	0.009093	
170	-0.014694	
171	-0.023103	
172	0.022719	
173	-0.056093	
174	-0.012829	
175	-0.013053	
176	-0.079959	
177	-0.008325	
178	0.044661	
179	0.009789	
180	0.002729	
181	0.08181	
182	0.005217	
183	0.041205	
184	0.041029	
185	-0.046402	
186	0.022037	
187	0.047355	
188	-0.010874	
189	0.031794	
190	-0.029227	
191	0.002363	
192	0.029533	
193	-0.040476	
194	-0.035887	
195	0.005465	
196	0.088206	
197	0.018659	
198	0.010362	
199	-0.022847	
200	0.011827	
201	0.040557	
202	0.008783	
203	0.053029	
204	-0.03847	
205	-0.008292	
206	-0.05471	
207	0.029971	
208	0.020076	
209	-0.001838	
210	-0.063838	
211	-0.064314	
212	0.045258	
213	-0.023828	
214	0.053006	
215	-0.03613	
216	-0.019438	
217	-0.07767	
218	0.05445	
219	-0.004577	
220	-0.10089	
221	-0.067303	
222	-0.052874	
223	0.072501	
224	0.044195	
225	0.040705	
226	-0.018096	
227	0.047481	
228	0.059878	
229	0.048344	
230	0.010149	
231	0.042202	
232	0.032886	
233	-0.041012	
234	0.002578	
235	-0.041716	
236	0.03731	
237	-0.007156	
238	-0.041337	
239	-0.004262	
240	0.088825	
241	0.022656	
242	0.026314	
243	0.007744	
244	0.005485	
245	0.012694	
246	-0.023366	
247	-0.002982	
248	0.033706	
249	-0.008001	
250	0.009004	
251	0.044994	
252	0.009684	
253	-0.02672	
254	-0.044086	
255	-0.006711	
256	-0.047592	
257	-0.023396	
258	-0.010212	
259	0.050618	
260	-0.034993	
261	0.051389	
262	-0.00322	
263	-0.121242	
264	0.013259	
265	-0.002277	
266	-0.001952	
267	-0.026047	
268	-0.045105	
269	-0.040701	
270	-0.021322	
271	-0.074602	
272	-0.092562	
273	-0.112772	
274	0.164827	
275	-0.047661	
276	-0.026665	
277	0.132819	
278	0.053124	
279	0.026348	
280	0.044749	
281	0.049103	
282	0.04888	
283	-0.065567	
284	-0.026303	
285	-0.038422	
286	0.058225	
287	0.025596	
288	-0.012665	
289	0.123577	
290	-0.004559	
291	0.027295	
292	-0.012242	
293	-0.015385	
294	0.045188	
295	-0.008759	
296	-0.005779	
297	0.023644	
298	-0.023167	
299	-0.002012	
300	0.055874	
301	-0.041392	
302	-0.023171	
303	-0.013302	
304	0.002542	
305	-0.020097	
306	0.048623	
307	-0.016858	
308	-0.021549	
309	-0.002148	
310	-0.04154	
311	0.033473	
312	0.002925	
313	-0.059473	
314	-0.020115	
315	0.028655	
316	0.081779	
317	0.010626	
318	-0.016227	
319	0.054897	
320	0.030107	
321	-0.009209	
322	-0.104932	
323	0.023064	
324	0.013456	
325	0.044547	
326	-0.036498	
327	0.058743	
328	0.00464	
329	-0.02338	
330	0.041625	
331	0.012957	
332	0.054956	
333	-0.002751	
334	-0.072247	
335	0.052211	
336	0.019755	
337	0.059426	
338	-0.010823	
339	-0.110718	
340	0.046389	
341	0.050348	
342	0.030136	
343	0.065886	
344	0.013136	
345	0.026053	
346	0.01668	
347	0.099788	
348	-0.036367	
349	-0.045405	
350	0.011287	
351	0.039724	
352	-0.018359	
353	0.001314	
354	-0.01113	
355	-0.001128	
356	-0.063432	
357	-0.058792	
358	0.053839	
359	0.038745	
360	-0.030911	
361	-0.023897	
362	-0.057583	
363	-0.012439	
364	0.040023	
365	-0.038355	
366	-0.023443	
367	-0.023463	
368	0.115048	
369	0.009447	
370	0.112465	
371	0.039287	
372	0.013603	
373	0.034669	
374	0.021247	
375	0.030233	
376	0.07066	
377	-0.002212	
378	0.034991	
379	-0.031896	
380	0.006388	
381	0.014151	
382	-0.020139	
383	0.01963	
384	-0.011491	
385	-0.010977	
386	-0.042314	
387	0.012999	
388	0.003348	
389	-0.057292	
390	0.018996	
391	-0.017812	
392	0.104932	
393	-0.001189	
394	0.000139	
395	-0.014376	
396	0.021394	
397	0.077061	
398	0.011487	
399	-0.003777	
400	-0.004728	
401	0.055033	
402	0.014116	
403	-0.005669	
404	-0.009945	
405	-0.039395	
406	0.042076	
407	0.063865	
408	0.042471	
409	0.005339	
410	0.068856	
411	0.052925	
412	-0.015072	
413	0.045916	
414	0.012137	
415	-0.056776	
416	0.06896	
417	-0.082086	
418	0.051157	
419	0.013882	
420	-0.029642	
421	0.126634	
422	0.037277	
423	0.022108	
424	-0.017005	
425	0.002858	
426	0.045359	
427	0.044583	
428	0.033176	
429	-0.023136	
430	-0.218453	
431	-0.079868	
432	0.065156	
433	0.044101	
434	0.042527	
435	-0.027139	
436	0.008105	
437	0.000467	
438	0.045868	
439	-0.008694	
440	-0.032834	
441	0.035877	
442	0.019802	
443	-0.019738	
444	0.015216	
445	0.065047	
446	-0.023159	
447	0.018693	
448	0.045247	
449	0.033529	
450	-0.005303	
451	0.081221	
452	0.015929	
453	-0.006483	
454	-0.029938	
455	0.016453	
456	0.018504	
457	-0.069664	
458	0.009274	
459	0.020947	
460	-0.02912	
461	0.084879	
462	-0.008572	
463	-0.005876	
464	-0.091576	
465	-0.051064	
466	-0.010244	
467	0.05866	
468	0.024794	
469	0.04033	
470	0.068305	
471	0.02175	
472	0.000527	
473	0.036408	
474	-0.044653	
475	0.043804	
476	0.02079	
477	-0.015909	
478	0.013211	
479	-0.041426	
480	0.103656	
481	-0.013267	
482	0.008617	
483	-0.021438	
484	0.021841	
485	0.001989	
486	-0.018562	
487	0.039376	
488	-0.022836	
489	0.007174	
490	0.005042	
491	0.0308	
492	0.012422	
493	0.007777	
494	0.009756	
495	0.02138	
496	-0.024786	
497	0.021077	
498	0.002773	
499	-0.002791	
500	0.03374	
501	-0.006671	
502	0.015044	
503	-0.017355	
504	0.01549	
505	0.029411	
506	-0.029565	
507	-0.045555	
508	0.010384	
509	0.007185	
510	-0.02779	
511	0.030516	
512	0.036182	
513	-0.024802	
514	0.012215	
515	-0.040585	
516	0.012071	
517	0.021738	
518	0.034535	
519	0.024225	
520	0.022067	
521	0.032549	
522	0.019783	
523	0.031769	
524	0.003925	
525	0.037653	
526	-0.012804	
527	0.044593	
528	0.017534	
